YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,biomed_type_code,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2008,biomed_tot,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q9Box,P1Q9AGR,P1Q9BIO,P1Q9COS,P1Q9ENG,P1Q9HLTH,P1Q9MATH,P1Q9PHY1,P1Q9PHY2,P1Q9PSY,P1Q9SOC,P1Q9OTH,P1Q11Box,P1Q11,P1Q12Box,P1Q12,P1Q13A1,P1Q13B1,P1Q13C1,P1Q13TOT1,P1Q13A2,P1Q13B2,P1Q13C2,P1Q13TOT2,P1Q14Box,P1Q14AGR,P1Q14BIO,P1Q14COS,P1Q14ENG,P1Q14HLTH,P1Q14MATH,P1Q14PHY1,P1Q14PHY2,P1Q14PSY,P1Q14SOC,P1Q14OTH,P1Q16Box,P1Q16,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q19Box,P1Q19A,P1Q19B,P1Q20Box,P1q20AGR_1,P1q20BIO_1,P1q20COS_1,P1q20ENG_1,P1q20HLTH_1,P1q20MATH_1,P1q20PHY1_1,P1q20PHY2_1,P1q20PSY_1,P1q20SOC_1,P1q20OTH_1,P1q20AGR_2,P1q20BIO_2,P1q20COS_2,P1q20ENG_2,P1q20HLTH_2,P1q20MATH_2,P1q20PHY1_2,P1q20PHY2_2,P1q20PSY_2,P1q20SOC_2,P1q20OTH_2,P1Q22Box,P1Q22A,P1Q22B,P1Q23Box,P1Q23AGR_1,P1Q23BIO_1,P1Q23COS_1,P1Q23ENG_1,P1Q23HLTH_1,P1Q23MATH_1,P1Q23PHY1_1,P1Q23PHY2_1,P1Q23PSY_1,P1Q23SOC_1,P1Q23OTH_1,P1Q23AGR_2,P1Q23BIO_2,P1Q23COS_2,P1Q23ENG_2,P1Q23HLTH_2,P1Q23MATH_2,P1Q23PHY1_2,P1Q23PHY2_2,P1Q23PSY_2,P1Q23SOC_2,P1Q23OTH_2,P1Q25Box,P1Q25A,P1Q25B
2009,6001,Henry Ford Health System,Y,,2,30,MI,,,0,0,0,0,,0,1,.,19023270,1,1,0,1,1,1,1,0,1,0,0,1,260444,0,0,0,0,1,3074,1,33060,0,0,0,0,0,0,0,0,0,0,16864,0,S,1,0,1641562,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,1641562,1641562,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6006,Alfred I. duPont Hospital for Children,Y,,2,30,DE,,,0,0,0,0,,1,3,.,2638423,1,1,0,1,0,1,0,0,1,1,8800,1,43814,0,0,1,1393,1,1227,1,110,0,0,0,0,0,0,0,0,0,0,641,0,S,1,0,363000,0,0,0,0,0,0,0,0,0,0,S,0,0,363000,0,0,363000,S,S,S,S,1,0,300000,0,0,0,0,0,0,0,0,0,0,S,1,0,300000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6007,William Beaumont Hospital Research Institute,Y,,2,20,MI,,,0,0,0,0,,0,1,.,1984713,1,1,1,1,0,1,1,0,1,0,0,1,35983,0,0,0,0,1,2626,0,0,0,0,0,0,0,0,0,0,0,0,23355,0,S,1,0,1225000,0,0,3275000,0,0,0,0,0,0,0,S,0,0,0,0,4500000,4500000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6012,Health Partners Research Foundation,Y,,2,20,MN,,,0,0,0,0,,0,1,.,4092355,1,1,1,1,1,1,2,2,1,0,0,1,1000,1,200,0,0,1,1000,1,100,0,0,0,0,0,0,0,0,0,0,200,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6014,Van Andel Research Institute,Y,,2,20,MI,,,0,0,0,0,,0,1,.,2236568,1,1,0,1,0,1,0,0,0,0,0,1,48912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,0,3801000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6020,Queen's Medical Center,Y,,2,30,HI,,,0,0,0,0,,1,4,.,2206622,1,1,1,0,0,1,0,0,1,0,0,1,6926,0,0,0,0,1,3500,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,S,1,0,0,0,0,650000,0,0,0,0,0,0,0,S,0,0,0,0,650000,650000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6021,Rehabilitation Institute of Chicago,Y,,2,20,IL,,,0,0,0,0,,0,1,.,3559985,1,1,0,1,1,1,0,0,1,0,0,1,18000,0,0,1,2500,1,800,0,0,0,0,0,0,0,0,0,0,0,0,400,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,0,0,0,250000,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6022,"Ordway Research Institute, Inc.",Y,,2,20,NY,,,0,0,0,0,,0,2,.,4707368,1,1,0,1,1,1,0,0,0,0,0,1,64104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,0,4000000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6023,"Swedish Medical Center, First Hill",Y,,2,30,WA,,,0,0,0,0,,0,4,.,1700489,1,2,0,0,1,1,1,0,1,0,0,1,13292,0,0,0,0,1,13697,0,0,0,0,0,0,0,0,0,0,0,0,13697,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6025,J. Craig Venter Institute,Y,,2,20,MD,,,0,0,0,0,,0,3,.,2796595,1,1,2,1,1,1,0,0,0,0,0,1,138449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,50166376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6026,Kaiser Permanente-Clinical Research Unit,Y,,2,20,CO,,,0,0,0,0,,0,4,.,1849216,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,35686,0,0,0,0,0,0,0,0,0,0,0,0,738,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6028,California State University Sacramento,Y,001150,1,.,CA,2,1,0,0,0,0,0,0,4,4386,.,1,1,1,1,0,1,0,0,0,1,500,1,2000,1,1500,1,2000,1,1500,1,400,1,500,1,500,1,1000,1,500,1,500,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,0,0,0,0,3000000,0,0,0,0,400000,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,10000000,25000000,0,0,0,20000000,15000000,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6031,University of California Merced,Y,001323,1,.,CA,1,1,0,0,0,0,0,0,4,16802,.,1,1,1,1,1,1,1,0,0,1,14162,1,47558,1,2595,1,37484,0,0,1,260,1,1324,1,4481,1,2101,1,4596,1,3989,0,0,S,1,0,7447000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,7447000,7447000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6034,Southern Connecticut State University,Y,001406,1,.,CT,2,1,0,0,0,0,0,0,2,3448,.,1,1,1,0,0,1,0,0,0,1,2944,1,5494,0,0,0,0,1,54717,0,0,1,1834,1,1885,1,1962,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,2650000,4947000,0,0,0,0,1651000,1697000,0,0,0,0,S,1,3194000,5960900,0,0,0,0,1999000,2045000,0,0,0,2533,4726,0,0,0,0,1578,1622,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6036,Colby College,Y,002039,1,.,ME,3,2,0,0,0,0,1,1,2,1216,.,1,1,1,0,0,1,0,0,0,1,1447,1,23334,1,1696,0,0,0,0,0,0,1,6090,1,18112,1,2238,1,2357,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,894000,0,0,1167000,0,0,3300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6037,University of New England,Y,002050,1,.,ME,2,2,0,0,1,1,1,1,2,1743,.,1,1,1,0,0,1,0,1,0,1,10000,1,30000,1,2000,0,0,1,12000,1,1000,1,10000,1,2000,1,2000,1,2000,0,0,0,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,S,S,S,S,0,4000000,0,4000000,1,0,1500000,0,0,0,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8000000,8500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8500000,0
2009,6039,Towson University,Y,002099,1,.,MD,1,1,0,0,0,0,0,0,3,2357,.,1,1,1,1,0,1,0,0,0,0,0,1,21271,1,4641,0,0,1,2786,1,1197,1,2115,1,6691,1,11424,1,12300,0,0,0,0,S,1,0,0,0,0,0,0,0,755000,0,0,0,0,S,1,1,0,0,755000,755000,0,9000000,0,9000000,1,0,339900,0,0,0,0,0,690100,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,7950000,0,0,0,0,1000000,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,13200000,0,0,0,0,1000000,3960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6041,University of Baltimore,Y,002102,1,.,MD,1,1,0,0,0,0,0,0,3,4700,.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,800,0,0,0,0,0,0,0,0,0,0,1,1300,1,4400,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,1,S,S,S,S,1974456,0,973315,2947771,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2009,6042,University of Maryland Eastern Shore,Y,002106,1,.,MD,1,1,1,0,0,0,0,0,3,5917,.,1,1,1,1,0,1,0,0,0,1,102332,1,12748,0,0,1,2600,0,0,0,0,1,4000,1,5450,0,0,0,0,0,0,0,0,S,1,1060000,0,0,0,0,0,0,0,0,0,0,0,S,0,0,508000,517000,35000,1060000,S,S,S,S,1,560000,0,0,0,0,0,0,1055000,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,13475000,0,0,103150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
