,YEAR,INST_ID,INST_NAME,INST_STATE,TOC_CODE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND,NASF_NR,RR_NR,NASF_CLIN_TRIAL
41,2007,1043,University of California-Riverside,CA,1,124820,230008.0,231193,0.0,129238.0,20780.0,12541.0,30575.0,133570.0,29873,31122.0,0.0,0,0,0,0,0,0,0,2625268,1476628,0,0,0,0,0,4101896,0,4101896,0,49371217,0,49371217,,,
42,2007,1044,University of California-San Diego,CA,1,754766,0.0,286205,49792.0,405536.0,696087.0,20692.0,303385.0,253749.0,44386,91485.0,125053.0,536650,0,297456,400000,0,1134305,0,1644656,14016000,0,860484,0,1134305,0,13126000,5226901,18352901,0,28286121,45321529,73607650,,,
43,2007,1045,University of California-San Francisco,CA,1,796149,0.0,319500,0.0,0.0,1269700.0,0.0,0.0,0.0,0,16700.0,168300.0,1774200,0,28338100,0,0,39503500,0,0,0,0,400000,610000,68851600,0,0,68851600,68851600,0,0,135000000,135000000,,,
44,2007,1046,University of California-Santa Barbara,CA,1,174429,0.0,138309,15479.0,190953.0,1872.0,6497.0,93915.0,166224.0,33277,71840.0,49467.0,0,0,10836000,0,688000,0,0,0,0,325799,0,0,0,0,9691000,2158799,11849799,0,10086000,707000,10793000,,,
45,2007,1047,University of California-Santa Cruz,CA,1,114126,0.0,82195,14143.0,84878.0,0.0,8883.0,126074.0,171512.0,21736,40596.0,8197.0,0,0,0,0,13182799,0,0,0,546000,0,349390,0,0,0,10094322,3983867,14078189,0,0,0,0,,,
46,2007,1048,Santa Clara University,CA,2,1684,500.0,11400,300.0,13800.0,0.0,1000.0,0.0,9700.0,3200,4000.0,0.0,0,0,0,0,712000,0,0,0,250000,0,0,0,0,0,0,962000,962000,0,0,0,0,,,
47,2007,1049,University of Southern California,CA,2,450173,0.0,233627,147707.0,161773.0,290492.0,1404.0,38095.0,66417.0,57294,29624.0,441.0,348993,0,2855426,0,1717933,857532,0,0,4353013,0,0,0,1762086,0,0,9783904,9783904,0,0,0,0,,,
48,2007,1050,University of the Pacific,CA,2,4161,0.0,12717,1900.0,12799.0,12793.0,2047.0,4346.0,14824.0,2355,2096.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,13000000,,,
49,2007,1052,Colorado School of Mines,CO,1,28729,0.0,0,0.0,75548.0,0.0,0.0,51357.0,0.0,0,0.0,0.0,0,0,0,0,955522,0,0,0,0,0,0,0,0,100000,100000,755522,955522,0,0,0,0,,,
50,2007,1053,University of Northern Colorado,CO,1,2566,0.0,9639,0.0,0.0,15488.0,380.0,4710.0,7523.0,380,760.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
51,2007,1054,Colorado State University,CO,1,253992,149524.0,156661,5640.0,169808.0,142702.0,3868.0,73731.0,82369.0,7041,5872.0,32750.0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,61950,438050,500000,550069,0,4998491,5548560,,,
52,2007,1055,University of Colorado at Boulder,CO,1,250255,0.0,238351,16433.0,186532.0,32866.0,5621.0,124760.0,202604.0,104655,23570.0,2664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
53,2007,1056,University of Denver,CO,2,10581,0.0,39799,331.0,14613.0,0.0,0.0,272.0,23905.0,10658,20324.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
54,2007,1059,University of Hartford,CT,2,1633,0.0,4056,1005.0,12801.0,1692.0,528.0,450.0,2739.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
55,2007,1060,Wesleyan University,CT,2,8170,0.0,37020,964.0,0.0,0.0,4954.0,11538.0,36921.0,13227,41858.0,0.0,0,0,330000,0,0,0,0,0,0,250000,0,0,0,0,0,580000,580000,0,0,0,0,,,
56,2007,1061,Yale University,CT,2,460075,36634.0,180779,18099.0,113699.0,1199577.0,14156.0,37203.0,210257.0,52441,58357.0,86139.0,1191197,995000,1437000,0,6648000,149443500,0,970000,5305000,17234000,5408000,0,148368500,0,0,187440500,187440500,0,0,17025055,17025055,,,
57,2007,1062,Delaware State University,DE,1,7016,27728.0,14232,2160.0,17206.0,3469.0,3778.0,0.0,11498.0,3102,0.0,18423.0,0,0,1763000,0,0,0,0,0,0,0,0,0,0,343000,1420000,0,1763000,0,0,0,0,,,
58,2007,1063,University of Delaware,DE,1,114985,155202.0,54612,6831.0,187467.0,23647.0,9660.0,70067.0,102593.0,28667,27818.0,3584.0,0,481152,263965,0,0,0,1431176,271300,29735000,0,0,0,0,0,12000000,20182593,32182593,503000,0,2220000,2723000,,,
59,2007,1064,American University,DC,2,2410,0.0,7240,17605.0,0.0,1140.0,16250.0,41711.0,0.0,6898,75000.0,4409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
60,2007,1065,The Catholic University of America,DC,2,17662,0.0,19793,8298.0,32904.0,1764.0,0.0,0.0,34359.0,4423,1689.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
61,2007,1067,George Washington University,DC,2,113982,0.0,10839,9188.0,29056.0,96343.0,2699.0,7190.0,28411.0,7578,7443.0,3149.0,96343,0,2000000,0,6900000,54000000,0,0,3700000,500000,0,500000,0,0,0,67600000,67600000,0,0,0,0,,,
62,2007,1068,Georgetown University,DC,2,118558,0.0,167682,358.0,0.0,150986.0,160.0,0.0,23071.0,2740,8983.0,0.0,303085,0,6112439,375000,0,2139254,375000,0,7502908,0,0,0,7413600,666665,0,15837936,16504601,0,0,0,0,,,
63,2007,1069,Howard University,DC,2,36465,0.0,150000,10100.0,39743.0,500949.0,8396.0,8859.0,15415.0,16411,45917.0,0.0,106337,0,250000,0,0,0,0,0,300000,0,0,0,0,0,0,550000,550000,0,0,0,0,,,
64,2007,1071,Florida Institute of Technology,FL,2,7684,0.0,37600,5000.0,64900.0,0.0,2000.0,10000.0,60000.0,14000,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
65,2007,1072,Embry-Riddle Aeronautical University,FL,2,13957,0.0,0,500.0,500.0,0.0,500.0,500.0,500.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
66,2007,1073,Florida A&M University,FL,1,34293,97274.0,33894,19479.0,52415.0,40000.0,8000.0,0.0,30000.0,1000,1000.0,0.0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,3000000,3000000,0,0,0,0,,,
67,2007,1074,Florida Atlantic University,FL,1,28896,12880.0,55896,1000.0,13660.0,13451.0,2420.0,4508.0,17249.0,16980,1118.0,17719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27590,613235,640825,,,
68,2007,1075,Florida State University,FL,1,185633,0.0,40973,4364.0,56672.0,47807.0,2973.0,78786.0,146318.0,17803,1966.0,0.0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
69,2007,1076,Nova Southeastern University,FL,2,6445,0.0,0,0.0,0.0,49233.0,0.0,23300.0,0.0,5000,0.0,0.0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
70,2007,1077,University of Florida,FL,1,565491,987696.0,550739,0.0,430598.0,615290.0,14238.0,17565.0,203281.0,31526,26419.0,0.0,731733,0,0,0,0,4100000,0,0,0,0,0,0,4100000,0,0,4100000,4100000,3600000,78955655,0,82555655,,,
71,2007,1078,University of Miami,FL,2,213516,64478.0,110721,175.0,13561.0,354518.0,0.0,35664.0,27014.0,27461,458.0,0.0,446872,0,13000000,0,0,15800000,0,0,0,0,0,0,15800000,2720000,0,26080000,28800000,0,0,180000000,180000000,,,
