,YEAR,INST_ID,INST_NAME,INST_STATE,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_STA,NC_INST,NC_TFUND,EXP_TOT
0,2017,1001,Charles R. Drew University of Medicine & Science,CA,0,50357,0,0,23632,0,0,0,0,0,0,2655,0,23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13360
1,2017,1002,Alabama A&M University,AL,35000,6800,1200,20000,0,500,35000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28877
2,2017,1003,Alabama State University,AL,0,70000,35000,4692,80000,35000,0,0,25000,33000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372
3,2017,1005,Tuskegee University,AL,95835,28357,13250,153051,18780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16508
4,2017,1006,"University of Alabama, Tuscaloosa",AL,0,62842,5275,97343,3172,355,6086,8915,56172,8593,8720,550,0,0,0,0,7856944,2460000,0,1765362,0,374354,0,0,2494385,0,0,0,0,14951045,14951045,0,0,0,53395
5,2017,1007,University of Alabama at Birmingham,AL,0,242605,1586,54918,489861,91,0,0,13889,11306,714,12553,9214,643107,0,452547,0,0,1811053,0,0,0,0,0,0,0,1811053,0,0,2263600,2263600,0,350577,350577,531492
6,2017,1008,University of Alabama at Huntsville,AL,1490,15371,23967,135668,1695,4781,1000,21947,70509,1199,0,0,0,0,0,0,0,319900,0,0,0,0,0,0,0,0,0,0,0,319900,319900,0,0,0,91549
7,2017,1009,University of South Alabama,AL,1097,96585,3075,26645,37167,272,0,3568,11608,5583,18008,12000,0,68101,0,0,0,0,0,0,0,0,1750000,0,0,0,0,0,0,1750000,1750000,0,0,0,42466
8,2017,1010,"Arizona State University, All Campuses",AZ,0,255730,2636,363870,12412,111,0,74562,121859,44451,74423,9529,37230,0,0,6743050,0,12686703,536021,0,0,0,7301890,0,395328,1814939,0,0,0,29477931,29477931,0,60000000,60000000,441411
9,2017,1011,Northern Arizona University,AZ,0,95469,11325,9766,12462,145,21409,16944,20496,5388,7854,0,0,0,0,2242633,1731000,0,0,0,499983,0,0,0,0,0,0,0,1632982,2840634,4473616,0,0,0,38800
10,2017,1012,University of Arizona,AZ,334114,301873,12475,125028,168117,1553,45678,197986,394197,13544,29519,20055,73994,240301,620000,2364109,0,0,15400000,0,500000,814339,1302000,0,0,0,15400000,620000,1749197,18631251,21000448,0,0,0,592412
