,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
94,2019,1106,Northwestern University,IL,776458,0,209824,5505,166284,448487,3661,3337,7944,133973,12361,18625,16390,162990,548971,0,2346589,13200000,9002958,13727433,0,0,0,11302975,0,387000,9157181,13517895,0,0,59124136,59124136,0,0,50982852,50982852
95,2019,1107,Southern Illinois University Carbondale,IL,49636,129191,69502,102,39408,42024,89,4536,6458,22105,10432,4418,3710,0,38229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2019,1108,Southern Illinois University Edwardsville,IL,16914,5166,38000,0,14225,5646,2310,1933,657,9954,0,6026,932,1134,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,600000,600000,0,0,0,0
97,2019,1109,University of Chicago,IL,412791,0,618637,13759,70027,364039,5224,0,32623,174889,38980,14051,19229,2034,364039,0,0,476571,24026541,19500000,0,0,4110595,2409821,0,0,0,19500000,0,0,50523528,50523528,0,0,3675446,3675446
98,2019,1110,University of Illinois at Urbana-Champaign,IL,609984,815026,348517,158273,635253,159813,4990,317621,19969,210111,71266,23937,498,314911,1749,301824,2582154,0,13721577,1824943,0,8603503,0,3694629,0,294054,4338134,1578428,0,1139000,34221818,35360818,0,131545,44697636,44829181
99,2019,1111,University of Illinois at Chicago,IL,343254,0,341461,15607,92779,425109,3129,608,7056,90544,11753,17783,120631,56162,371425,0,1254079,0,0,14963057,0,0,0,0,0,0,0,11958560,0,0,16217136,16217136,0,0,9695449,9695449
100,2019,1112,Western Illinois University,IL,2414,4100,46240,3000,14736,3900,0,0,5200,32000,4000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2019,1113,Ball State University,IN,6412,8893,24365,4934,0,13773,0,2911,7398,21936,4808,10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17937667,0,17937667
102,2019,1116,University of Notre Dame,IN,190469,0,111484,1863,220637,27774,25069,0,6728,194527,14884,16460,8499,0,0,0,0,0,3903041,0,0,0,0,9077814,0,0,0,0,0,0,12980855,12980855,0,0,1385400,1385400
103,2019,1119,Iowa State University,IA,343890,976785,191099,3874,167866,9789,1946,7690,2396,90199,3977,4724,0,50272,0,343390,0,0,0,0,0,0,0,253640,0,0,0,0,0,0,597030,597030,0,0,0,0
104,2019,1120,University of Northern Iowa,IA,2946,0,34574,1233,5913,879,0,0,3551,17628,5887,2368,5379,11897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2019,1121,University of Iowa,IA,484253,0,210965,3712,120252,227783,653,0,2616,80997,19035,3232,39712,947,304950,0,1962481,0,770879,22974958,0,0,0,2146895,440544,0,0,10535000,0,355432,27940325,28295757,0,0,9053718,9053718
106,2019,1122,Pittsburg State University,KS,2253,1079,25917,0,2882,0,0,0,0,6337,5481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2019,1123,Kansas State University,KS,201866,225373,241459,18846,312056,95712,12755,88785,13484,152572,21819,35007,0,0,0,0,0,0,0,7955000,0,0,0,0,0,0,0,0,0,7955000,0,7955000,0,0,0,0
108,2019,1124,Wichita State University,KS,66916,0,15286,0,774112,6167,0,0,7977,26264,7492,6193,0,2155,0,0,0,0,1485545,0,0,0,0,0,0,0,0,0,433824,1051721,0,1485545,0,0,0,0
109,2019,1126,Kentucky State University,KY,9125,20897,1366,1922,0,0,0,0,0,0,0,238,0,0,0,6500000,0,0,0,0,0,0,0,0,0,0,0,0,6500000,0,0,6500000,0,0,0,0
110,2019,1127,Murray State University,KY,2860,46255,18520,10550,24000,19359,2400,16000,4600,12300,3192,8439,0,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2019,1128,University of Louisville,KY,168433,304,74487,0,94187,332315,0,0,0,46790,16601,5761,10355,907,397085,0,396829,0,0,564008,0,0,0,0,0,0,0,960837,0,0,960837,960837,0,0,0,0
