,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
184,2007,1210,"University of Nevada, Reno",NV,98917,137237,101182,962,99198,23156,184,41617,87251,8713,11267,13171,68534,1884576,390598,0,0,1075489,0,0,0,0,0,0,3350663,1564527,814203,971933,3350663,0,0,0,0
185,2007,1211,"University of Nevada, Las Vegas",NV,57031,1275,21794,4843,25924,8085,312,21420,24180,4678,13405,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382991,59356550,61739541
186,2007,1213,University of New Hampshire,NH,115117,27846,40841,2255,57153,51000,780,21068,7645,51181,0,0,0,403000,0,0,0,0,0,0,0,0,0,0,0,0,0,403000,403000,12953500,1660610,292908,14907018
187,2007,1214,University of Medicine and Dentistry of New Jersey,NJ,245771,0,740205,0,0,15094,0,0,0,0,0,0,677093,0,3473333,0,0,0,0,0,0,0,0,0,3473333,0,0,3473333,3473333,25709305,0,13357582,39066887
188,2007,1215,New Jersey Institute of Technology,NJ,77583,0,12593,7549,59030,0,132,1688,24507,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2007,1216,Princeton University,NJ,188165,0,131383,12968,137759,0,8755,34656,144867,25670,29327,0,0,0,6569000,0,1528000,0,0,5459000,2492000,0,258000,0,0,0,0,16306000,16306000,0,0,166400000,166400000
190,2007,1217,Seton Hall University,NJ,2395,0,10365,300,0,0,1600,0,15259,4920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2007,1218,Stevens Institute of Technology,NJ,25848,0,5000,10000,220000,0,12000,40000,40000,0,0,0,0,0,0,0,250000,0,250000,0,500000,0,0,0,0,0,0,1000000,1000000,0,0,0,0
192,2007,1219,New Mexico Highlands University,NM,1419,0,10541,534,0,0,0,1000,13985,976,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2007,1220,New Mexico Institute of Mining and Technology,NM,73792,0,5984,11797,120152,0,3781,66926,47325,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2007,1221,University of New Mexico,NM,181223,0,112308,7656,83296,118016,2090,53316,0,7405,37261,0,139691,0,7285000,1188384,0,0,0,0,0,0,0,0,0,0,1188384,7285000,8473384,6545514,10550000,0,17095514
195,2007,1223,City University of New York Brooklyn College,NY,4621,0,93099,18793,0,0,10099,1136,112419,49733,23660,5156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2007,1224,City University of New York The City College,NY,28593,8380,75000,35000,190403,60242,30623,10000,60000,26367,19897,40000,0,8685000,4800000,0,1500000,0,0,4800000,4800000,0,0,0,0,0,24585000,0,24585000,0,1500000,0,1500000
197,2007,1225,City University of New York Hunter College,NY,31308,0,38979,2755,0,0,9568,8608,33502,33554,37491,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,600000,600000,0,0,0,0
198,2007,1226,City University of New York Queens College,NY,7432,0,24600,7500,0,9600,1500,8400,43500,16800,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798000,0,6798000
199,2007,1227,Clarkson University,NY,16143,0,7850,1177,71416,3564,1177,0,25808,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2007,1228,Columbia University in the City of New York,NY,529945,0,402106,32539,166008,490223,0,17676,194424,31464,12081,0,720965,0,1627400,250000,4792975,0,0,4500000,14450000,2500000,3383140,0,0,0,0,31503515,31503515,0,0,157609135,157609135
201,2007,1229,Barnard College,NY,2742,1394,8650,0,0,0,0,0,1110,6046,200,0,0,0,0,0,0,0,0,0,314000,0,0,0,0,0,0,314000,314000,0,0,0,0
202,2007,1230,Fordham University,NY,6033,0,27442,4005,0,0,1866,0,12995,6245,6892,0,0,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,1100000,1100000,0,0,0,0
203,2007,1231,Hamilton College,NY,1504,0,21845,140,0,0,0,11650,13600,8792,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641000,23000000,23641000
